ケン,shoulder,肩
ケン,flats,軒
ケン,authority,権
ケン,intelligent,賢
コ,happenstance,故
コ,wither,枯
コ,warehouse,庫
コ,lake,湖
コ,employ,雇
ゴ,mutually,互
ゴ,mistake,誤
ゴ,protect,護
コウ,grow late,更
コウ,agreement,肯
コウ,thick,厚
コウ,deluge,洪
コウ,crimson,紅
コウ,laid waste,荒
コウ,outskirts,郊
コウ,incense,香
コウ,climate,候
コウ,ease,康
コウ,stiff,硬
コウ,mineral,鉱
コウ,posture,構
コウ,lecture,講
コク,engrave,刻
コン,mix,混
サ,sand,砂
サイ,again,再
サイ,wife,妻
サイ,pick,採
サイ,vegetable,菜
ザイ,materials,材
ザイ,property,財
ザイ,guilt,罪
さく,blossom,咲
サツ,printing,刷
サツ,guess,察
ザツ,miscellaneous,雑
サン,scatter,散
サン,approve,賛
シ,scholar,士
シ,pay respects,伺
シ,intention,志
シ,thorn,刺
シ,part of speech,詞
シ,document,誌
ジ,become,似
ジ,newborn babbs,児
シキ,discriminating,識
シツ,damp,湿
シャ,discard,捨
シュ,guard,守
ジュ,impart,授
シュウ,boat,舟
シュウ,circumference,周
シュウ,pickup,拾
シュウ,discipline,修
シュウ,concerning,就
ジュウ,tender,柔
シュク,celebrate,祝
ジュツ,mention,述
ジュン,genuine,純
ジュン,turn,順
ショ,dispose,処
ショ,beginning,緒
ショ,various,諸
ジョ,exclude,除
ショウ,seduce,召
ショウ,bed,床
ショウ,beckon,招
ショウ,be informed,承
ショウ,rise up,昇
ショウ,general,将
ショウ,symptoms,症
ショウ,introduce,紹
ショウ,bake,焼
ショウ,evidence,証
ショウ,elephant,象
ショウ,illuminate,照
ショウ,prize,賞
ジョウ,article,条
ジョウ,conditions,状
ジョウ,castle,城
ジョウ,tatami mat,畳
ジョウ,steam,蒸
ショク,plant,植
ショク,contact,触
シン,expand,伸
シン,retainer,臣
シン,spicy,辛
シン,needle,針
シン,quake,震
スイ,blow,吹
セイ,surname,姓
セイ,pure,清
セイ,refined,精
セイ,organize,整
ゼイ,tax,税
セキ,blame,責
セキ,volume,積
セキ,exploits,績
セツ,season,節
ゼツ,discontinue,絶
セン,fortune-telling,占
セン,specialty,専
セン,fountain,泉
ゼン,virtuous,善
ソ,ancestor,祖
ソウ,search,捜
ソウ,sweep,掃
ソウ,window,窓
ソウ,dress,装
ソウ,concept,想
ソウ,layer,層
ソウ,maneuver,操
ソウ,parch,燥
ゾウ,create,造
ゾウ,image,像
ゾウ,hate,憎
ゾウ,storehouse,蔵
ゾウ,presents,贈
ゾウ,entrails,臓
ソク,rule,則
ソク,side,側
ソク,fathom,測
ゾク,belong,属
ソツ,ratio,率
ソン,exist,存
ソン,grandchild,孫
ソン,precious,尊
ソン,damage,損
タイ,belt,帯
タイ,sack,袋
タイ,exchange,替
タク,laundry,濯
タン,shouldering,担
タン,charcoal,炭
タン,grope,探
ダン,grade,段
ダン,refuse,断
チ,price,値
チ,shame,恥
チク,livestock,畜
チュウ,pillar,柱
チュウ,stop over,駐
チョ,publish,著
チョ,savings,貯
チョウ,government office,庁
チョウ,omen,兆
チョウ,notebook,帳
チョウ,lengthen,張
チョウ,receive,頂
チン,sink,沈
チン,rare,珍
チン,fare,賃
テイ,halt,停
テイ,propose,提
テイ,extent,程
デイ,mud,泥
テキ,drop,滴
テキ,suitable,適
テン,unfold,展
デン,palace,殿
ト,junior,徒
ト,transit,渡
ト,paint,塗
ド,toil,努
ド,angry,怒
トウ,lamp,灯
トウ,arrival,到
トウ,escape,逃
トウ,overthrow,倒
トウ,frozen,凍
トウ,faction,党
トウ,steal,盗
トウ,pagoda,塔
トウ,hot water,湯
トウ,cylinder,筒
トウ,overall,統
ドウ,copper,銅
トツ,stab,突
カイ,deliver,届
ドン,dull,鈍
ドン,cloudy weather,曇
ナン,soft,軟
ニュウ,milk,乳
ニン,acknowledge,認
ネン,burn,燃
ノウ,trouble,悩
ノウ,brain,脳
ノウ,concentrated,濃
ハ,waves,波
ハ,rip,破
ハイ,worship,拝
ハイ,counter for cupfuls,杯
ハイ,height,背
ハイ,failure,敗
ハク,overnight stay,泊
ハク,command,博
ハク,dilute,薄
バク,wheat,麦
バク,bomb,爆
はこ,box,箱
はだ,texture,肌
ハツ,hair of the head,髪
バツ,slip out,抜
ハン,plank,板
ハン,impression,版
ハン,carrier,般
ハン,marketing,販
ヒ,skin,皮
ヒ,refuse,否
ヒ,criticism,批
ヒ,incur,被
ヒツ,writing,筆
ヒョウ,signpost,標
ヒン,poverty,貧
フ,cloth,布
フ,dreadful,怖
フ,floating,浮
フ,token,符
フ,wealth,富
フ,skin,膚
ブ,warrior,武
ブ,dance,舞
フウ,seal,封
フク,width,幅
フク,belly,腹
フク,duplicate,複
フツ,pay,払
フツ,boil,沸
フン,flour,粉
ヘキ,wall,壁
ヘン,compilation,編
ホ,catch,捕
ホ,supplement,補
ボ,recruit,募
ボ,evening,暮
ホウ,wrap,包
ホウ,treasure,宝
ホウ,embrace,抱
ホウ,rich,豊
ボウ,headgear,帽
ボウ,rod,棒
ボウ,trade,貿
マ,grind,磨
マイ,bury,埋
マン,full,満
ム,dream,夢
むすめ,daughter,娘
メイ,in doubt,迷
メン,cotton,棉
ヤク,translate,訳
ユ,transport,輸
ユウ,tenderness,優
ヨ,participate,与
ヨ,surplus,余
ヨウ,infancy,幼
ヨウ,sheep,羊
ヨウ,contain,容
ヨウ,sunshine,陽
ヨウ,melt,溶
ヨウ,hips,腰
ヨウ,jump,踊
ヨウ,foster,養
ヨク,bathe,浴
ヨク,longing,欲
ヨク,the following,翌
ライ,trust,頼
ラク,coil around,絡
ラン,riot,乱
ラン,egg,卵
リ,back/reverse,裏
リ,detach,離
リク,land,陸
リツ,rhythm,律
リャク,abbreviation,略
リュウ,grains,粒
リョウ,complete,了
リョウ,quantity,量
リョウ,heal,療
リョク,green,緑
ルイ,tears,涙
レイ,cool,冷
レイ,return,戻
レイ,age,齢
レツ,row,列
ロク,record,録
ワン,bay,湾
ワン,ability,腕
